file_name,subset,transcript
LA_T_6405980,train,"Certainly, there's much on the agenda."
LA_T_6426017,train,"However, pensions and salaries have yet to be settled."
LA_T_6492747,train,I think she's supreme.
LA_T_6618587,train,"He said to me, which one, son?"
LA_T_6630946,train,Such is the ego involved.
LA_T_6721654,train,"Thankfully, for me, the matter is now closed."
LA_T_6736628,train,Last night the row continued.
LA_T_6768659,train,We will deal with the refugees.
LA_T_6960204,train,Mexico City was a wonderful experience.
LA_T_7122854,train,"Later, they changed their minds."
LA_T_7123800,train,These are exciting times for young Scottish players.
LA_T_7248140,train,I understand the medical concerns.
LA_T_7288400,train,It was a virus.
LA_T_7397041,train,There were no violations.
LA_T_7677120,train,The house was full of smoke.
LA_T_7737943,train,I'll have to work on that.
LA_T_7744923,train,I'm sure all schools would accept that.
LA_T_8115679,train,"That, though, was again according to manager McColl."
LA_T_8145267,train,"As often as not, the cause remains a mystery."
LA_T_8324598,train,The pressure on the aid agencies is immense.
LA_T_8449978,train,Yet the survey has been cautious.
LA_T_8458654,train,The result could be all down to the turnout.
LA_T_8507928,train,The farmer is called an idiot.
LA_T_8638376,train,But the fans deserve to know.
LA_T_8682959,train,I am an estate agent.
LA_T_9107429,train,This was not just in Congress.
LA_T_9152126,train,I don't want to hear any excuses.
LA_T_9188299,train,"As long as it is possible, we will keep going."
LA_T_9258514,train,The sun has autism and other problems.
LA_T_9341221,train,I've got to provide for my family.
LA_T_9431341,train,Is your life a little too easy?
LA_T_9437384,train,"That, however, was only the tip of the iceberg."
LA_T_9456128,train,My mother was getting on at me.
LA_T_9488159,train,We remain confident that Danny is still alive.
LA_T_9515789,train,Both were later released after a check-up.
LA_T_9526930,train,The commission is not the only loser.
LA_T_9534983,train,This is a United Kingdom.
LA_T_9543922,train,He already had had complaints.
LA_T_9596913,train,"They could not ignore the will of Parliament, he claimed."
LA_T_9669914,train,We don't just play golf in Scotland.
LA_T_9701712,train,I wish it well.
LA_T_9789409,train,This does not create any precedent.
LA_T_9803720,train,I did not think about the Ryder Cup.
LA_T_9874922,train,Before the game we went for a pint.
LA_T_9897034,train,We were a little bit nervous.
LA_T_9905136,train,There was a fossil on the screen.
LA_T_9907603,train,We have been extremely lucky this time.
LA_T_9926593,train,It is a love affair.
LA_T_1078395,train,Is it in the right place?
LA_T_1257508,train,First Minister Donald Diewa will respond.
LA_T_1290428,train,It is also very valuable.
LA_T_1373249,train,The plan was yesterday endorsed by employees and unions.
LA_T_1411980,train,I had a fortunate war.
LA_T_1455233,train,A fence of the herd was not easily overlooked.
LA_T_1470659,train,It's wonderful to have one.
LA_T_1511191,train,Striking a deal has come as a big relief.
LA_T_1618831,train,A police inquiry began about two weeks before the general election.
LA_T_1625761,train,This big issue is whether it can be enforced.
LA_T_1651877,train,Motherwell have no such good fortune.
LA_T_1702062,train,It is good for our team.
LA_T_1735385,train,Urgent action is needed to tackle this crisis.
LA_T_1795259,train,That was the agreement with the manager.
LA_T_1820456,train,There is no dealers yet.
LA_T_1909202,train,The choice is strictly personal.
LA_T_2091969,train,The second goal was superb.
LA_T_2335057,train,I wouldn't want to miss that chance.
LA_T_2386039,train,We're still the only ones in the high street.
LA_T_2407353,train,We know about the crisis in cattle.
LA_T_2486958,train,A career as a doctor is on hold.
LA_T_2610237,train,He has earned the right to their respect.
LA_T_2698001,train,We've had several problems over injuries.
LA_T_2737588,train,I've always believed in myself.
LA_T_2777160,train,Their coach is obviously under a lot of pressure.
LA_T_2801441,train,Theatre is not a museum.
LA_T_2835258,train,The trial will open today.
LA_T_2848593,train,Shoppers were attracted by the heavy discounting on selected items.
LA_T_2869730,train,"In general terms, the proposals are very much in line with expectations."
LA_T_2992916,train,"Either way, the investor retains the premium."
LA_T_3108269,train,National Farmers Union of Scotland President Jim Walker welcomed the new proposals.
LA_T_3121388,train,The moral of the Yugoslav army is beginning to crack.
LA_T_3127213,train,And we might go back.
LA_T_3315434,train,She will attend in July.
LA_T_3317496,train,"Frankly, we should all have such problems."
LA_T_3387982,train,It has been the year of youngster Ekamanik.
LA_T_3465801,train,Their prescription is largely about changing attitudes.
LA_T_3505297,train,I see no reason to have this debate at this time.
LA_T_3518487,train,The project is entitled The Composer in Scotland.
LA_T_3555171,train,The circumstances have changed since last year.
LA_T_3595333,train,"We lost a composure towards the interval, he said."
LA_T_3626619,train,No other job in world football can compare to this one.
LA_T_3725354,train,"She's fallen in love with Scotland, however."
LA_T_3772667,train,The hope is that the outcome will be equally successful.
LA_T_3840528,train,The striker needs attention before he could resume.
LA_T_3877261,train,I think the goalkeeper should have gone.
LA_T_4077869,train,He is a reporter for us.
LA_T_4104820,train,"However, he will have his work cut out defending his title."
LA_T_4105004,train,The compromise is entirely on the arrival at that position.
LA_T_4111857,train,We shall rely on human beings.
LA_T_4140258,train,Scotland is showing the way.
LA_T_4176612,train,The Premier League has been a huge success.
LA_T_4356490,train,The effect was almost magical.
LA_T_4369654,train,I cannot explain the grief and pain in my heart.
LA_T_4397800,train,Russell is delighted with them.
LA_T_4584120,train,Funding would come from both Scotland and Northern Ireland.
LA_T_4904277,train,I always knew she was funny.
LA_T_5052270,train,There will be good prospects ahead.
LA_T_5058278,train,That document has been won.
LA_T_5064135,train,I'm certainly thinking about retirement.
LA_T_5079307,train,Friends of the Earth Scotland last night welcomed the announcement.
LA_T_5100132,train,The damage is all inside.
LA_T_5134869,train,Reactions for Scottish business leaders were mixed.
LA_T_5180830,train,The takeover comes as no surprise.
LA_T_5223695,train,It was nice to finish in style.
LA_T_5250310,train,"However, the players should have a voice in these matters."
LA_T_5264471,train,"There's a solution, she believes."
LA_T_5266787,train,I was bought up in a mining background.
LA_T_5359998,train,It may prove to be his last involvement with the club.
LA_T_5399126,train,"Last week against Nelson, we allowed them several opportunities."
LA_T_5404480,train,They all made the European rider cup team.
LA_T_5774498,train,Look at the Liberal Democrats.
LA_T_5866595,train,New the club is going to have much time for a decent runner up.
LA_T_5891775,train,Violence and threatening behaviour has no place in school.
LA_T_5913109,train,We would welcome a commercial partner or partners.
LA_T_5994708,train,It was tough to contain the excitement.
LA_T_6078217,train,It was like someone had died.
LA_T_6093418,train,The letters are going out today.
LA_T_6306026,train,It is a large number.
LA_T_6328130,train,Was everything done to save people?
LA_T_6356279,train,At half time he was presented to both teams.
LA_T_6462285,train,Macnaughton was not so sure.
LA_T_6474082,train,Three years ago he would have been.
LA_T_6631167,train,The remover would take place in France.
LA_T_6856715,train,It was an easy decision to come here.
LA_T_6957393,train,it will affect their work.
LA_T_7015765,train,The most important thing is the game.
LA_T_7020265,train,Is there a wasting list?
LA_T_7039518,train,We have very limited capacity.
LA_T_7090581,train,There was a substantial explosion.
LA_T_7102200,train,She's obviously very disappointed.
LA_T_7201521,train,I felt about this big.
LA_T_7316655,train,We believe the world has too many refugees already.
LA_T_7402461,train,Subsidy income will not be affected.
LA_T_7450091,train,And they were being paid.
LA_T_7483904,train,I feel really confident in that department.
LA_T_7589094,train,It has to solve the nuclear waste disposal problem.
LA_T_7797285,train,Employees are entitled to follow their contract to the letter.
LA_T_7856471,train,They included certain insurance policies and his share of the house.
LA_T_7905464,train,We will win the argument.
LA_T_7913619,train,Are they free?
LA_T_7939465,train,The transaction is not feasible.
LA_T_7948400,train,It was a narrow escape.
LA_T_8035781,train,I thought his speech was a disgrace.
LA_T_8086364,train,The casting of her husband was an accident.
LA_T_8227234,train,Being captain of this club is fantastic.
LA_T_8363647,train,He ran into immediate problems of local people and police.
LA_T_8421122,train,But you can go beyond that condition.
LA_T_8541274,train,Job losses were also announced.
LA_T_8647496,train,They are interior designers and architects.
LA_T_8651042,train,The breakdown was much later in her life.
LA_T_8665473,train,There isn't a seriousness of other business.
LA_T_8683526,train,He will address the nation this evening.
LA_T_8721428,train,It has only been rumours.
LA_T_8739453,train,It's fantastic to win again.
LA_T_8853276,train,The countryside is in crisis.
LA_T_8857843,train,That was the first time I worked with Richard.
LA_T_8936519,train,Paterson can afford to be generous.
LA_T_8988036,train,There's your tech and mobile phones.
LA_T_9102017,train,The salary changes are long overdue.
LA_T_9120168,train,Is that children learning?
LA_T_9242200,train,"In addition, it was in breach of natural justice."
LA_T_9296432,train,During the communist time they were very privileged.
LA_T_9392152,train,The process will start tomorrow.
LA_T_9478659,train,It's too close to cool.
LA_T_9628936,train,Let that be their memorial.
LA_T_9884044,train,It was a kind of contempt.
LA_T_1151332,train,"But if they were there, they were keeping a low profile."
LA_T_1213624,train,Friends of the family have given their support.
LA_T_1397401,train,"It won't happen overnight, but things will get better."
LA_T_1441999,train,We are waiting for them to calm down.
LA_T_1450124,train,This is wonderful news.
LA_T_1459702,train,It is a cold case.
LA_T_1590800,train,Not that Agassi was a believer.
LA_T_1670486,train,We can make changes.
LA_T_1888223,train,The island will never recover.
LA_T_2070410,train,Aside from Seekers are still being attacked and abused.
LA_T_2085766,train,Mr Mason is claiming unfair dismissal.
LA_T_2189044,train,That only came out during a radio interview.
LA_T_2256140,train,EMI is a prime example.
LA_T_2305882,train,Hitches can be expected.
LA_T_2500033,train,The event has now gone to Helsinki.
LA_T_2634789,train,This means a great deal to the families.
LA_T_2774875,train,Asylum is an entirely different issue to raise.
LA_T_2802034,train,Now it has become a big picture.
LA_T_2866777,train,It can't a reaction was.
LA_T_2875055,train,I thought that all musicians were the same.
LA_T_2888246,train,"This year, this month, will be special for Torrance."
LA_T_2890940,train,Jackson may well be right.
LA_T_2945445,train,It was a job he loved.
LA_T_3163159,train,I just want to change my life.
LA_T_3331468,train,"That was a bonus, but it was not the main objective."
LA_T_3342439,train,Neither was involved in violence.
LA_T_3477694,train,It's about my time as a guitarist.
LA_T_3508642,train,We are still going ahead with our plans.
LA_T_3570279,train,I took a mini bus into town.
LA_T_3588899,train,There is no smoking gun.
LA_T_3971937,train,"You name it, they have it."
LA_T_4096254,train,I am just trying to do my job.
LA_T_4170168,train,They are the heroes.
LA_T_4222512,train,Some may end up in hospital.
LA_T_4292472,train,Hopefully we can learn from our mistakes.
LA_T_4400269,train,"Lara is very, very much a girl."
LA_T_4451472,train,"Instead, it is back to the drawing board."
LA_T_4513430,train,I look for dancers who are also actors.
LA_T_4657133,train,This seems like a very good idea.
LA_T_4684802,train,They will run in tandem with new work.
LA_T_4901591,train,My thoughts are with their families.
LA_T_4956729,train,I'm deeply sorry they did.
LA_T_5123366,train,It was not confirmed by Scotland Yard.
LA_T_5159753,train,"It is a comforting fantasy, but it remains a fantasy."
LA_T_5192765,train,Whether this return was too soon.
LA_T_5570263,train,I don't think we could have expected better.
LA_T_5592527,train,This is usually done by the space shuttle.
LA_T_5638559,train,This is the last thing we ever expected.
LA_T_5639776,train,But let's not get carried away.
LA_T_5777134,train,It could be a danger.
LA_T_5801784,train,They have shown a great desire and attitude.
LA_T_5867902,train,The death toll included five children.
LA_T_5953323,train,The whole thing would be perfect.
LA_T_6007335,train,They are so easy for youngsters to open.
LA_T_6029472,train,The conclusion is enthralling.
LA_T_6049368,train,Intensive care has been very busy.
LA_T_6117487,train,Glasgow deserved their win but we made them look good.
LA_T_6227496,train,But he is rebelling in the big stage.
LA_T_6322780,train,You have to think not.
LA_T_6370833,train,They must be boundaries.
LA_T_6423802,train,Scotland would beat him again.
LA_T_6426400,train,"even though the show is seriously exacting, physically demanding."
LA_T_6458679,train,He knew it would cost him millions.
LA_T_6541095,train,The review has been conducted fairly.
LA_T_6650735,train,It is a thing of beauty to watch.
LA_T_6669635,train,"Sadly, the revival could not be sustained."
LA_T_6676313,train,I was just getting over the time difference.
LA_T_6769763,train,We don't want to push him.
LA_T_6774634,train,She was a delightful person.
LA_T_6808825,train,The European is a piece of vanity publishing.
LA_T_7075102,train,He said he was sorry.
LA_T_7145903,train,He's also a great finisher.
LA_T_7163377,train,He's not very big either.
LA_T_7183032,train,"Clearly, she says, we would never resort to such devices."
LA_T_7213473,train,You do that because you want to win.
LA_T_7292672,train,"Three weeks later, he resigned."
LA_T_7300523,train,"However, we had no failures on our side."
LA_T_7337587,train,We want to keep the pound.
LA_T_7351960,train,I'm not putting myself down.
LA_T_7363698,train,The best option is to destroy the plants.
LA_T_7388260,train,We will build upon the basic state pension.
LA_T_7419838,train,It is like a theatre of the absurd.
LA_T_7648440,train,Dialogue is the key.
LA_T_7697827,train,This fact is supported by audience research.
LA_T_7776350,train,You had no answer.
LA_T_7848595,train,There is no openness.
LA_T_7944618,train,He has lost confidence in weight.
LA_T_7967427,train,You take a risk.
LA_T_7972168,train,I am not among its admirers.
LA_T_8025784,train,It is a natural reaction.
LA_T_8124095,train,I played well on Saturday and again today.
LA_T_8140876,train,I like what has happened.
LA_T_8162147,train,I'm not obsessed with sex.
LA_T_8173514,train,I'm very pleased with what we have achieved.
LA_T_8180259,train,It's being very carefully looked at.
LA_T_8200308,train,At this level you have all to perform well.
LA_T_8257553,train,"Obviously, we would want to look at this."
LA_T_8326490,train,This is a national crisis.
LA_T_8339895,train,"With us, we just want them to respond."
LA_T_8344139,train,birthdays are wonderful and terrible things.
LA_T_8388870,train,"He feels he has cost us the game, but he didn't."
LA_T_8438885,train,Tourism is a vital industry for Scotland.
LA_T_8464594,train,I don't have any answer for them.
LA_T_8511040,train,"No, no, it's not what you think."
LA_T_8543938,train,There were three boys and two girls.
LA_T_8615006,train,"Of further privacy, he had no need."
LA_T_8845558,train,I'm very tired but it was worth it.
LA_T_8852458,train,"Certainly, in terms of league position, we must be favourites."
LA_T_8880498,train,We have been treated with complete contempt.
LA_T_8893973,train,Partition is not an option.
LA_T_8985520,train,That is highly unfair.
LA_T_9017338,train,The home team had an amazing start.
LA_T_9074196,train,"We could play someone else, but he is ready to play."
LA_T_9213454,train,It was early morning.
LA_T_9358107,train,Moving from Manchester to London was upheaval enough.
LA_T_9396899,train,"Come to that, is any of this really happening?"
LA_T_9411327,train,It may encourage more people to prospect.
LA_T_9504498,train,How come it is so often unnoticed?
LA_T_9631300,train,One was a lawyer.
LA_T_9650425,train,Scottish life can be like this too.
LA_T_9741234,train,He wasn't ready to cope with the pressures.
LA_T_9746491,train,It looks like paradise.
LA_T_9763074,train,"Anyway, even if they didn't, it wouldn't have mattered."
LA_T_9838989,train,He will address the nation this evening.
LA_T_9844620,train,"He is very popular in the squad, in England and abroad."
LA_T_9896606,train,"Filtering through this material, a composite finally emerges."
LA_T_9912890,train,She had been sexually assaulted.
LA_T_1199930,train,I was in a position to challenge for this event and didn't.
LA_T_1219386,train,"In addition, it was in breach of natural justice."
LA_T_1487560,train,But he is caught between a rock and a hard place.
LA_T_1569908,train,Their findings are published in the journal Injury Prevention.
LA_T_1584182,train,We have to be sure that the taxation system can work.
LA_T_1585521,train,I saw it at a rock.
LA_T_1623473,train,It shows a contempt by him for the industry.
LA_T_1667973,train,This court has made an order which has not been observed.
LA_T_1756992,train,We have spent the last couple of years with acting directors.
LA_T_1792767,train,He has already received the freedom of Ambradine.
LA_T_1830509,train,A new school where we built.
LA_T_1908512,train,My first concern is for the safety of the public.
LA_T_1923872,train,A police inquiry began about two weeks before the general election.
LA_T_1931571,train,"However, the snow was welcomed by some."
LA_T_1934754,train,And Michael was just great.
LA_T_2043279,train,It's changed my life.
LA_T_2130583,train,They will certainly be visible from every house in our area.
LA_T_2147641,train,A change in that position would require a decision by the council.
LA_T_2216602,train,"However, Sharon rejected the claims."
LA_T_2217523,train,Who will do it?
LA_T_2520647,train,It is a strong case.
LA_T_2618051,train,It is no country for a man or woman of letters.
LA_T_2675422,train,"In his absence, the council adopted the change."
LA_T_2699884,train,Russian officials have not determined the cause of the accident.
LA_T_2925763,train,Our task is to complete the picture.
LA_T_3026804,train,It looks as though he will be right.
LA_T_3068473,train,And he goes with it.
LA_T_3119779,train,That's the only thing I will say.
LA_T_3171621,train,Is there on his hands?
LA_T_3208992,train,It's very nice.
LA_T_3226167,train,I think I was recorded with a video camera.
LA_T_3301728,train,I'd like to take the plunge.
LA_T_3324636,train,The home team had an amazing start.
LA_T_3362906,train,But he stressed that the partnership is not a construction company.
LA_T_3513521,train,I could hardly move for the next couple of days.
LA_T_3517928,train,They should stop the bombing.
LA_T_3524074,train,This is a war over our home.
LA_T_3583591,train,Access has been a nightmare.
LA_T_3611811,train,Mark Fisher was a guest of the Northern Ireland tourist board.
LA_T_3659915,train,The death toll included five children.
LA_T_3661578,train,Immediate action must be taken.
LA_T_3704574,train,It was a question of patience.
LA_T_3748161,train,We are looking for perfection.
LA_T_3782527,train,The bottom line is that we had to get a win.
LA_T_3915181,train,This is a club on the rise.
LA_T_3925776,train,Craig is a major concern for us.
LA_T_3963536,train,It benefits the whole family.
LA_T_4068159,train,We have a free vote on these things in our party.
LA_T_4169604,train,It is a vote of confidence in the skills in Scotland.
LA_T_4198628,train,They also recovered a picture of Osama bin Laden.
LA_T_4210946,train,Lottery money was intended to be used for good causes.
LA_T_4369129,train,Tiger is the exception.
LA_T_4451463,train,They are different types.
LA_T_4481879,train,I would miss him.
LA_T_4486316,train,I've not thought about it.
LA_T_4638884,train,His contract was then not renewed.
LA_T_4710044,train,It should be equal.
LA_T_4710920,train,I got a yellow card.
LA_T_4740750,train,"Last night, he pledged to clear his name."
LA_T_4769298,train,"In the meantime, the fans would settle for a Derby win."
LA_T_4772321,train,Funding for the Science Center has come from a number of sources.
LA_T_4817040,train,"He was my big brother, my father, my grandfather."
LA_T_4860349,train,We are a grandmother.
LA_T_4940666,train,Scotland has shown the way.
LA_T_4991041,train,As indeed they would be.
LA_T_5043225,train,We agreed to disagree.
LA_T_5103637,train,Her presence was almost everywhere.
LA_T_5167256,train,A report is the first step in the criminal case in India.
LA_T_5353096,train,The government and Westminster is simply not prepared to save him.
LA_T_5408992,train,It left me with the sadness.
LA_T_5443164,train,Kids are terrible.
LA_T_5533183,train,The perception is that we do not care about social issues.
LA_T_5599339,train,It's been hard.
LA_T_5787857,train,Rangers can expect a physical battle in this national stadium tonight.
LA_T_5890305,train,It was a privilege to work for him.
LA_T_6058119,train,That's what's helped.
LA_T_6078773,train,"Brown is an interesting man, but he is not desperate."
LA_T_6253524,train,They made clear that they are not interested in government assistance.
LA_T_6368265,train,The pressure is on Celtic in the mean.
LA_T_6441166,train,"That was a bonus, but it was not the main objective."
LA_T_6496177,train,The train was on time.
LA_T_6551574,train,We have to break that cycle.
LA_T_6554775,train,Chambers said he would accept the place.
LA_T_6632006,train,They are real.
LA_T_6666532,train,I was concerned with the way they tried to justify his actions.
LA_T_6726155,train,We think all other measures are not exhausted.
LA_T_6766056,train,What has altered?
LA_T_6774071,train,Our numbers are small.
LA_T_6795804,train,"The report will go before the Scottish Parliament, probably in early autumn."
LA_T_6835345,train,Who was the mystery MP?
LA_T_6946670,train,There will be widespread support on all sides.
LA_T_7220833,train,The play is based on a real life event.
LA_T_7278711,train,It is not a process which can be completed overnight.
LA_T_7327413,train,Equity declines to comment.
LA_T_7367042,train,There is a cup final at stake.
LA_T_7468662,train,I was rubbish.
LA_T_7667225,train,Special measures were needed.
LA_T_7696598,train,"In fact, we were all over the shop."
LA_T_7815754,train,We were extremely pure.
LA_T_7816568,train,He also launched the new strategy for the agency.
LA_T_7851926,train,Details of the new vessel were given in London yesterday.
LA_T_8038233,train,The whole matter is somewhat in the air.
LA_T_8040847,train,It is hard one.
LA_T_8147741,train,Similar measures are expected in England and Wales.
LA_T_8193150,train,"Yesterday, he had a chilling warning for the game in Scotland."
LA_T_8219979,train,It was good fun.
LA_T_8230959,train,He put some colour into Scottish history.
LA_T_8337767,train,"That might be a punishment, but it would also punish the patients."
LA_T_8374631,train,There is no hint of scandal.
LA_T_8448396,train,Talks are progressing.
LA_T_8522600,train,The project has already secured the support of Sir Sean Connery.
LA_T_8597023,train,The scene is about this.
LA_T_8597829,train,Manager Bobby Williamson has no injury worries.
LA_T_8639914,train,"Yet, it worked."
LA_T_8705208,train,I have tonight resigned as a member of the European Commission.
LA_T_8793633,train,"By that time, however, it was already too late."
LA_T_8806097,train,He could face the jail sentence.
LA_T_8970804,train,This is the culture change in medicine.
LA_T_9075670,train,It just came into my head that day.
LA_T_9101277,train,It will decide today whether he should be struck off the register.
LA_T_9390369,train,There is no signature.
LA_T_9392229,train,Safety was also an issue.
LA_T_9408141,train,I should think so too.
LA_T_9502120,train,A search and rescue mission was mounted within minutes.
LA_T_9634249,train,I'm so pleased the show has won a prize.
LA_T_9675042,train,A tribunal would then consider the seriousness of the incident.
LA_T_9728429,train,"Well, the big day has arrived."
LA_T_9772981,train,I must make that clear.
LA_T_9778924,train,This is out there.
LA_T_9884197,train,It is a mark of respect from the inmates.
LA_T_9955851,train,So I left.
LA_T_9983805,train,It's so awful.
LA_T_1031233,train,But soon the game dropped back into its old ways.
LA_T_1126222,train,Its work includes dealing with child abuse.
LA_T_1188742,train,"In my opinion, any transfer to a foreign club will help him progress."
LA_T_1197695,train,There would be a North and South division.
LA_T_1261884,train,The leavers site is developed in the north area.
LA_T_1269847,train,You could understand both points of view.
LA_T_1504888,train,We will not simply hit these people.
LA_T_1555189,train,No one had seen this sort of thing before.
LA_T_1662467,train,I try to be open to experience.
LA_T_1678844,train,The British government should follow the Irish example.
LA_T_1745865,train,Neither police nor hotel management had any record of the incident.
LA_T_1785278,train,Jim was down there with his wife.
LA_T_1793666,train,What kind of man does that Mr Dick?
LA_T_1864383,train,So what is the campaign about?
LA_T_1873366,train,The direct effects on trade will be limited.
LA_T_1897788,train,I think the shares are good value.
LA_T_1914243,train,Friday night was a pretty good night.
LA_T_1933449,train,Had I heard?
LA_T_2193944,train,Further heavy charges are expected this year.
LA_T_2226656,train,"Otherwise, we might as well hold it now."
LA_T_2304357,train,It was another black day for Ayrshire.
LA_T_2347217,train,My tax affairs have been totally open.
LA_T_2376874,train,"However, the figures tell a different story."
LA_T_2406356,train,The team spirit that was here last year is again good.
LA_T_2419538,train,His name was first linked last year to Business for Scotland.
LA_T_2476165,train,I want to see as much progress as possible.
LA_T_2535749,train,Local managers are already involved in talks with potential investors.
LA_T_2560383,train,He's young enough and he must learn.
LA_T_2709262,train,How are you sir?
LA_T_2824772,train,I just felt that I was broken down.
LA_T_3022241,train,The question is whether private investors should follow their example.
LA_T_3059635,train,Why change it?
LA_T_3060760,train,Policymaking would become a role for ministers and their officials.
LA_T_3163425,train,These options include the possible merger or sale of the company.
LA_T_3325988,train,What do we do?
LA_T_3492130,train,"Put another way, they just won't do it."
LA_T_3508559,train,Such a policy is for long-term strength.
LA_T_3649480,train,I felt we played some excellent football in the first half.
LA_T_3729389,train,In that situation they thought we should be beaten.
LA_T_3774973,train,The dead women and the injured man have not yet been named.
LA_T_3812469,train,He really played us into a corner.
LA_T_3843638,train,Sales will begin by the end of October.
LA_T_3865816,train,Here remains a main board director of Royal.
LA_T_3983390,train,He's not exactly a pretty child.
LA_T_4027900,train,Are you from the rugby?
LA_T_4255653,train,They should realise the chairman wants a deputy he can trust.
LA_T_4302417,train,The top prize draw award is certainly impressive.
LA_T_4348949,train,It is not either the national standards or local control.
LA_T_4396533,train,It used to be all hard sell.
LA_T_4428088,train,"I think, therefore I am."
LA_T_4486346,train,Wall Street provided the British market with little fresh direction.
LA_T_4543133,train,We are keen to see truth in justice.
LA_T_4591528,train,So is that it then?
LA_T_4652434,train,I hope numbers will be up on last time.
LA_T_4667091,train,It is also seeking a National Mortgage Rescue Plan.
LA_T_4678612,train,This is not a small amount of money.
LA_T_4734861,train,"So, did she meet him?"
LA_T_4811800,train,His record on government has always been highly effective.
LA_T_4855072,train,What are you not good at?
LA_T_4890539,train,What do we want to do that for?
LA_T_4927126,train,My first New Year's wish is for him to change his mind.
LA_T_4983711,train,"Perhaps she met her husband too early, she says."
LA_T_5294797,train,This is the version which appeared in our paper.
LA_T_5383824,train,I think the guilty ones speak for the whole lot of us.
LA_T_5481571,train,We have been going for three years.
LA_T_5675574,train,A report on their property is due within days.
LA_T_5759484,train,Similar increases have been experienced by the Medical Defence Unions.
LA_T_5786461,train,The fans pay for their season tickets.
LA_T_5900964,train,"For that reason, cover should not be given."
LA_T_5918833,train,He would get into any world team.
LA_T_5949193,train,Do I have a favourite?
LA_T_5973899,train,The deal is expected to be completed by September.
